PSComputerName;RunspaceId;PSShowComputerName;Identity;TargetMailbox;Success;TargetFolder;ResultItemsCount;ResultItemsSize
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCA DE INVERSION/dalliati;;True;;1;25.19 KB (25,790 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/RIESGO CREDITICIO/hcoro;;True;;1;24.48 KB (25,065 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/AMBA/lledesma;;True;;1;27.86 KB (28,526 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/AMBA/Duette, Mariana Paula;;True;;1;25.81 KB (26,433 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/CORDOBA/Tassi, Marcelo Daniel;;True;;1;24.39 KB (24,973 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/OPERACIONES FINANCIERAS/mvaccaro;;True;;1;25.07 KB (25,670 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/PRODUCTOS EMPRESAS/abastida;;True;;1;27.76 KB (28,429 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ADMINISTRACION/daaponte;;True;;1;24.84 KB (25,433 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Buzones Recursos/Fondos Pionero;;True;;1;25.79 KB (26,407 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/AMBA/fvales;;True;;1;24.28 KB (24,859 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ADMINISTRACION/galbiac;;True;;1;23.31 KB (23,873 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Sucursales/AMBA/glarosa;;True;;1;23.2 KB (23,759 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/ORGANIZACI?N Y PROCESOS/hcervett;;True;;1;25.17 KB (25,777 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/Externos - MACRO SECURITIES/lraimund;;True;;1;28.59 KB (29,274 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/RECURSOS HUMANOS/lupalopo;;True;;1;25.23 KB (25,840 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/DISTRIBUCION Y VENTAS/maperez;;True;;1;24.81 KB (25,405 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Tecnicas/GSAI/Quintana, Mariano Emmanuel;;True;;1;23.98 KB (24,554 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCAS COMERCIALES/msalmodi;;True;;1;24.55 KB (25,137 bytes)
srvexcm02-prod;f97feb7d-4cfb-4aef-adb7-7609678b198b;False;MACRO.COM.AR/Usuarios/Areas Centrales/BANCAS COMERCIALES/muncalbr;;True;;1;24.56 KB (25,148 bytes)
